PDB ID,Chain ID,High Resolution Limit,CATH ID [Res Range],Entity ID,Chain Length,Molecular Weight
"1ELW","B","1.60","1.25.40.10 [1-115]","1","118","13447.00"
"1ELW","A","1.60","1.25.40.10 [2-118]","1","118","13447.00"
"1EMU","A","1.90","1.10.196.10 [117-147], 1.10.196.10 [233-248], 1.10.167.10 [148-232]","1","132","15349.50"
"1EPT","B","1.80","2.40.10.10 [61-145]","2","82","8827.98"
"1EUV","A","1.60","3.30.310.130 [466-570]","1","221","25650.30"
"1F2T","B","1.60","3.40.50.300 [740-882]","2","148","16787.40"
"1F2T","A","1.60","3.40.50.300 [1-149]","1","149","17110.80"
"1F3U","E","1.70","","1","118","12718.30"
"1F3U","H","1.70","","2","171","19942.40"
"1F3U","A","1.70","","1","118","12718.30"
"1F3U","D","1.70","","2","171","19942.40"
"1F3U","G","1.70","","1","118","12718.30"
"1F3U","C","1.70","","1","118","12718.30"
"1F3U","F","1.70","","2","171","19942.40"
"1F3U","B","1.70","","2","171","19942.40"
"1F3V","A","2.00","3.30.70.680 [8-165]","1","179","19413.00"
"1F47","B","1.95","3.30.1400.10 [1-144]","1","144","16134.50"
"1FIP","A","1.90","1.10.10.60 [26-98]","1","98","11226.90"
"1FIP","B","1.90","1.10.10.60 [26-98]","1","98","11226.90"
"1FLE","I","1.90","4.10.75.10 [11-57]","2","57","6014.23"
"1FLT","X","1.70","2.60.40.10 [132-226]","2","95","10906.70"
"1FLT","Y","1.70","2.60.40.10 [132-225]","2","95","10906.70"
"1FMA","E","1.58","3.90.1170.40 [2-150]","2","150","17003.00"
"1FMA","D","1.58","3.10.20.30 [1-81]","1","81","8764.88"
"1FNS","A","2.00","3.40.50.410 [507-702]","3","196","22430.10"
"1FS1","C","1.80","1.20.1280.50 [109-149]","1","53","6105.01"
"1FS1","A","1.80","1.20.1280.50 [109-149]","1","53","6105.01"
"1G1S","A","1.90","2.10.25.10 [120-157], 3.10.100.10 [1-119]","1","162","19131.20"
"1G1S","B","1.90","3.10.100.10 [1-119], 2.10.25.10 [120-157]","1","162","19131.20"
"1G6G","B","1.60","2.60.200.20 [32-155]","1","127","14129.10"
"1G6G","A","1.60","2.60.200.20 [29-155]","1","127","14129.10"
"1G73","B","2.00","1.20.58.70 [1-157]","1","162","18115.30"
"1G73","A","2.00","1.20.58.70 [1-157]","1","162","18115.30"
"1G8K","B","1.64","2.102.10.10 [1-133]","2","133","13805.50"
"1G8K","H","1.64","2.102.10.10 [1-133]","2","133","13805.50"
"1G8K","F","1.64","2.102.10.10 [1-133]","2","133","13805.50"
"1G8K","D","1.64","2.102.10.10 [1-133]","2","133","13805.50"
"1GCQ","C","1.68","2.30.30.40 [591-659]","2","70","8029.99"
"1GGD","C","1.50","2.40.10.10 [151-245]","3","97","10074.50"
"1GGD","B","1.50","2.40.10.10 [16-146]","2","131","13934.60"
"1GL2","D","1.90","1.20.5.110 [152-206]","4","65","7346.02"
"1GL2","C","1.90","1.20.5.110 [139-198]","3","65","7551.42"
"1GL2","B","1.90","1.20.5.110 [169-228]","2","65","7325.04"
"1GL2","A","1.90","1.20.5.110 [11-64]","1","65","7361.15"
"1GL4","B","2.00","2.60.40.10 [1769-1857]","2","98","10562.10"
"1GL4","A","2.00","2.40.155.10 [359-631]","1","285","31350.90"
"1GM9","A","1.80","1.10.287.150 [150-179], 1.10.439.10 [3-149]","1","209","23854.80"
"1GMW","C","1.50","3.30.70.790 [72-135], 2.60.260.20 [2-71]","1","143","15924.60"
"1GMW","B","1.50","3.30.70.790 [72-135], 2.60.260.20 [2-71]","1","143","15924.60"
"1GMW","A","1.50","2.60.260.20 [2-71], 3.30.70.790 [72-135]","1","143","15924.60"
"1GO3","M","1.75","2.40.50.140 [82-180], 3.30.1490.120 [1-81]","1","187","21246.60"
"1GO3","F","1.75","1.10.150.80 [48-107], 1.10.287.420 [1-47]","2","107","12342.20"
"1GO3","E","1.75","3.30.1490.120 [1-81], 2.40.50.140 [82-182]","1","187","21246.60"
"1GO3","N","1.75","1.10.287.420 [2-47], 1.10.150.80 [48-107]","2","107","12342.20"
"1GOT","G","2.00","4.10.260.10 [9-66]","3","73","8578.83"
"1GPQ","A","1.60","3.40.1420.10 [2-128]","1","135","14973.80"
"1GPQ","B","1.60","3.40.1420.10 [2-129]","1","135","14973.80"
"1GUX","B","1.85","1.10.472.10 [645-785]","2","152","18265.50"
"1GUX","A","1.85","1.10.472.10 [380-577]","1","218","25100.90"
"1GVN","A","1.95","1.10.8.130 [3-90]","1","90","10734.20"
"1GVN","D","1.95","3.40.50.300 [2-272]","2","287","32445.00"
"1GVN","C","1.95","1.10.8.130 [2-87]","1","90","10734.20"
"1GVN","B","1.95","3.40.50.300 [2-274]","2","287","32445.00"
"1GYB","C","1.90","3.10.450.50 [5-124]","1","125","14512.10"
"1GYB","B","1.90","3.10.450.50 [3-124]","1","125","14512.10"
"1GYB","A","1.90","3.10.450.50 [3-124]","1","125","14512.10"
"1GYB","D","1.90","3.10.450.50 [5-124]","1","125","14512.10"
"1H0H","L","1.80","3.30.70.20 [74-137], 3.30.70.20 [1-73], 3.30.70.20 [138-214]","2","214","23881.00"
"1H0H","B","1.80","3.30.70.20 [74-137], 3.30.70.20 [1-73], 3.30.70.20 [138-214]","2","214","23881.00"
"1H2S","B","1.93","1.10.287.470 [23-82]","2","60","5714.69"
"1H2V","Z","2.00","3.30.70.330 [33-125]","2","156","18028.10"
"1H32","A","1.50","1.10.760.10 [1-54], 1.10.760.10 [146-260], 1.10.760.10 [55-142]","1","261","28974.40"
"1H32","B","1.50","1.10.760.10 [1-138]","2","138","14756.70"
"1H5B","A","1.85","2.60.40.10 [1-113]","1","113","12432.70"
"1H5R","C","1.90","3.90.550.10 [2-291]","1","293","32726.50"
"1H5R","A","1.90","3.90.550.10 [2-291]","1","293","32726.50"
"1H5R","D","1.90","3.90.550.10 [2-291]","1","293","32726.50"
"1H6K","Y","2.00","3.30.70.330 [38-117]","2","98","11502.00"
"1H6K","X","2.00","3.30.70.330 [38-118]","2","98","11502.00"
"1H6K","Z","2.00","3.30.70.330 [38-118]","2","98","11502.00"
"1H9O","A","1.79","3.30.505.10 [1-109]","1","112","12612.10"
"1H9S","A","1.82","2.40.50.100 [123-183], 2.40.50.100 [252-260], 2.40.50.100 [184-251]","1","140","15048.90"
"1HAV","A","2.00","2.40.10.10 [101-203], 2.40.10.10 [1-100], 2.40.10.10 [204-215]","1","217","23904.60"
"1HC9","A","1.80","2.10.60.10 [1-74]","1","74","8033.33"
"1HE1","A","2.00","1.20.120.260 [95-229]","1","135","14261.20"
"1HE1","B","2.00","1.20.120.260 [95-229]","1","135","14261.20"
"1HFE","T","1.60","4.10.260.20 [36-123]","1","123","13646.80"
"1HFE","S","1.60","4.10.260.20 [36-123]","1","123","13646.80"
"1HPG","A","1.50","2.40.10.10 [16-115], 2.40.10.10 [231-242], 2.40.10.10 [116-230]","1","187","18279.90"
"1I7Q","D","1.95","3.40.50.880 [2-195]","2","193","20950.10"
"1I7Q","B","1.95","3.40.50.880 [2-195]","2","193","20950.10"
"1I7W","B","2.00","4.10.900.10 [661-722]","2","151","17244.00"
"1I7W","D","2.00","4.10.900.10 [632-722]","2","151","17244.00"
"1ICF","J","2.00","4.10.800.10 [194-258]","3","65","7261.08"
"1ICF","I","2.00","4.10.800.10 [194-258]","3","65","7261.08"
"1IHJ","B","1.80","2.30.42.10 [12-106]","1","98","10771.50"
"1IHJ","A","1.80","2.30.42.10 [12-105]","1","98","10771.50"
"1IQD","C","2.00","2.60.120.260 [2174-2329]","3","156","17744.30"
"1J2J","A","1.60","3.40.50.300 [16-180]","1","166","18951.60"
"1J2X","A","2.00","1.10.10.10 [445-517]","1","73","8374.80"
"1J34","A","1.55","3.10.100.10 [1-129]","1","129","14655.20"
"1J34","B","1.55","3.10.100.10 [201-323]","2","123","14455.10"
"1JD5","A","1.90","1.10.1170.10 [214-318]","1","124","14078.70"
"1JIW","I","1.74","2.40.128.10 [1-105]","2","106","11396.80"
"1JKG","B","1.90","3.10.450.50 [370-555]","2","250","27987.70"
"1JKG","A","1.90","3.10.450.50 [2-140]","1","140","15859.80"
"1JNR","D","1.60","3.30.70.20 [2-67]","2","150","16957.70"
"1JNR","B","1.60","3.30.70.20 [2-67]","2","150","16957.70"
"1JW9","B","1.70","3.40.50.720 [2-248]","1","249","26741.80"
"1JWI","B","2.00","3.10.100.10 [3-125]","2","125","14822.20"
"1JY3","N","1.60","1.20.5.50 [35-78]","1","53","6172.89"
"1JY3","R","1.60","1.20.5.50 [64-114]","2","56","6253.13"
"1JY3","Q","1.60","1.20.5.50 [35-78]","1","53","6172.89"
"1JY3","O","1.60","1.20.5.50 [64-114]","2","56","6253.13"
"1JYO","C","1.90","3.30.1460.10 [1-130]","1","130","14457.40"
"1JYO","F","1.90","4.10.1330.10 [36-139]","2","105","11966.90"
"1JYO","B","1.90","3.30.1460.10 [1-130]","1","130","14457.40"
"1JYO","E","1.90","4.10.1330.10 [36-137]","2","105","11966.90"
"1JYO","A","1.90","3.30.1460.10 [1-130]","1","130","14457.40"
"1JYO","D","1.90","3.30.1460.10 [1-130]","1","130","14457.40"
"1K2X","D","1.65","3.60.20.30 [179-313]","2","143","14428.10"
"1K2X","C","1.65","","1","177","18958.70"
"1K2X","B","1.65","3.60.20.30 [179-313]","2","143","14428.10"
"1K2X","A","1.65","","1","177","18958.70"
"1KQF","C","1.60","1.20.950.20 [2-217]","3","217","25405.50"
"1KQF","B","1.60","1.20.5.480 [247-290], 3.30.70.20 [28-98], 3.30.70.20 [163-228], 3.30.70.20 [2-27], 3.30.70.20 [99-162]","2","294","32279.70"
"1KRL","B","1.90","","2","50","5841.65"
"1KRL","D","1.90","","2","50","5841.65"
"1KSH","A","1.80","3.40.50.300 [15-179]","1","186","21110.20"
"1KUI","A","1.50","3.40.390.10 [3-203]","1","203","23378.80"
"1KVE","C","1.80","4.10.420.10 [19-81]","1","63","6349.23"
"1KVE","B","1.80","3.30.44.10 [146-222]","2","77","7856.56"
"1KVE","A","1.80","4.10.420.10 [19-81]","1","63","6349.23"
"1KVE","D","1.80","3.30.44.10 [146-222]","2","77","7856.56"
"1L2W","F","2.00","3.30.1460.10 [0-118]","1","123","13843.60"
"1L2W","I","2.00","","2","69","7277.95"
"1L2W","L","2.00","","2","69","7277.95"
"1L2W","B","2.00","3.30.1460.10 [2-118]","1","123","13843.60"
"1L2W","E","2.00","3.30.1460.10 [2-118]","1","123","13843.60"
"1L2W","H","2.00","3.30.1460.10 [2-118]","1","123","13843.60"
"1L2W","K","2.00","","2","69","7277.95"
"1L2W","A","2.00","3.30.1460.10 [0-121]","1","123","13843.60"
"1L2W","D","2.00","3.30.1460.10 [0-120]","1","123","13843.60"
"1L2W","G","2.00","3.30.1460.10 [0-118]","1","123","13843.60"
"1L2W","J","2.00","","2","69","7277.95"
"1L2W","C","2.00","3.30.1460.10 [2-118]","1","123","13843.60"
"1LB6","A","1.80","2.60.210.10 [347-501]","1","160","18676.50"
"1LK3","B","1.91","1.20.1250.10 [21-157]","1","160","18520.30"
"1LK3","A","1.91","1.20.1250.10 [21-157]","1","160","18520.30"
"1LQV","B","1.60","3.30.500.10 [8-180]","1","193","22046.60"
"1LQV","A","1.60","3.30.500.10 [7-178]","1","193","22046.60"
"1LW6","E","1.50","3.40.50.200 [1-281]","1","281","28381.40"
"1LW6","I","1.50","3.30.10.10 [21-83]","2","64","7255.59"
"1M45","A","1.65","1.10.238.10 [4-74], 1.10.238.10 [75-149]","1","148","16332.20"
"1M93","B","1.65","2.30.39.10 [133-240], 2.30.39.10 [284-293], 3.30.497.10 [56-132], 3.30.497.10 [241-283], 3.30.497.10 [294-300]","2","245","27403.80"
"1M93","A","1.65","1.10.287.580 [1-46]","1","55","6079.82"
"1MFL","A","1.88","2.30.42.10 [1277-1371]","1","95","10292.60"
"1MHW","B","1.90","3.90.70.10 [1-174]","1","175","19127.00"
"1MHW","A","1.90","3.90.70.10 [1-174]","1","175","19127.00"
"1MIZ","B","1.90","2.30.29.30 [308-400], 1.20.80.10 [209-306]","2","201","23168.60"
"1MO1","C","1.80","3.30.1340.10 [1-87]","1","87","9671.74"
"1MO1","A","1.80","3.30.1340.10 [1-87]","1","87","9671.74"
"1MTY","H","1.70","1.20.1280.30 [72-144], 1.20.1280.10 [4-71]","3","162","18980.60"
"1MTY","G","1.70","1.20.1280.10 [4-71], 1.20.1280.30 [72-144]","3","162","18980.60"
"1MVF","D","1.65","2.10.260.10 [4-47]","2","82","9366.70"
"1MVF","E","1.65","2.10.260.10 [4-47]","2","82","9366.70"
"1N12","C","1.87","2.60.40.1090 [1-149]","1","138","14832.00"
"1N12","A","1.87","2.60.40.1090 [1-149]","1","138","14832.00"
"1N5W","F","1.50","3.30.43.10 [1-54], 3.30.390.50 [180-284], 3.30.465.10 [60-174]","3","288","30276.90"
"1N5W","D","1.50","3.10.20.30 [3-79], 1.10.150.120 [80-160]","1","166","17810.40"
"1N5W","C","1.50","3.30.43.10 [1-54], 3.30.390.50 [180-284], 3.30.465.10 [60-174]","3","288","30276.90"
"1N5W","A","1.50","3.10.20.30 [3-79], 1.10.150.120 [80-161]","1","166","17810.40"
"1N7F","B","1.80","2.30.42.10 [668-753]","1","97","10142.60"
"1N7F","A","1.80","2.30.42.10 [668-753]","1","97","10142.60"
"1NBU","A","1.60","3.30.1130.10 [2-119]","1","119","13251.90"
"1NBU","G","1.60","3.30.1130.10 [2-119]","1","119","13251.90"
"1NBU","F","1.60","3.30.1130.10 [2-119]","1","119","13251.90"
"1NBU","E","1.60","3.30.1130.10 [2-119]","1","119","13251.90"
"1NBU","H","1.60","3.30.1130.10 [2-119]","1","119","13251.90"
"1NKZ","C","2.00","4.10.220.20 [2-53]","1","53","5702.73"
"1NKZ","A","2.00","4.10.220.20 [2-53]","1","53","5702.73"
"1NKZ","E","2.00","4.10.220.20 [2-53]","1","53","5702.73"
"1NLN","A","1.60","3.40.395.10 [2-204]","1","204","23114.30"
"1NQ7","A","1.50","1.10.565.10 [208-451]","1","244","28167.60"
"1NRJ","B","1.70","3.40.50.300 [36-244]","2","218","24348.80"
"1NRJ","A","1.70","3.30.450.60 [1-155]","1","158","18406.70"
"1NTV","A","1.50","2.30.29.30 [23-174]","1","152","17084.80"
"1NVR","A","1.80","3.30.200.20 [3-97], 1.10.510.10 [98-273]","1","289","33043.00"
"1NX1","B","2.00","1.10.238.10 [394-566]","1","173","19883.50"
"1NX1","A","2.00","1.10.238.10 [94-266]","1","173","19883.50"
"1NZY","A","1.80","1.10.12.10 [205-269], 3.90.226.10 [1-204]","1","269","29898.50"
"1NZY","C","1.80","3.90.226.10 [1-204], 1.10.12.10 [205-269]","1","269","29898.50"
"1OAQ","L","1.50","2.60.40.10 [1-110]","2","120","12512.90"
"1OBY","A","1.85","2.30.42.10 [196-270]","1","79","8394.60"
"1OBY","B","1.85","2.30.42.10 [197-270]","1","79","8394.60"
"1OEY","B","2.00","3.10.20.90 [351-427]","1","83","9940.82"
"1OEY","J","2.00","3.10.20.90 [235-339]","2","107","12848.10"
"1OEY","M","2.00","3.10.20.90 [237-339]","2","107","12848.10"
"1OEY","A","2.00","3.10.20.90 [347-428]","1","83","9940.82"
"1OEY","D","2.00","3.10.20.90 [351-428]","1","83","9940.82"
"1OEY","L","2.00","3.10.20.90 [237-339]","2","107","12848.10"
"1OEY","C","2.00","3.10.20.90 [352-428]","1","83","9940.82"
"1OEY","K","2.00","3.10.20.90 [237-339]","2","107","12848.10"
"1OO0","A","1.85","3.30.1560.10 [4-147]","1","147","17335.80"
"1OO0","B","1.85","3.30.70.330 [64-155]","2","110","12698.10"
"1OR0","C","2.00","1.10.439.10 [9-160]","1","160","17644.20"
"1OR0","A","2.00","1.10.439.10 [8-160]","1","160","17644.20"
"1OR7","C","2.00","","2","90","10408.70"
"1OR7","B","2.00","1.10.1740.10 [-1-120], 1.10.10.10 [121-190]","1","194","22004.00"
"1OR7","A","2.00","1.10.1740.10 [-1-120], 1.10.10.10 [121-187]","1","194","22004.00"
"1OR7","F","2.00","","2","90","10408.70"
"1ORS","C","1.90","1.20.120.350 [20-151]","3","132","14629.50"
"1OSP","O","1.95","2.40.128.160 [23-127], 3.90.930.1 [128-273]","3","257","27682.20"
"1OU8","B","1.60","2.30.30.220 [5-110]","1","111","12640.20"
"1OU8","A","1.60","2.30.30.220 [5-110]","1","111","12640.20"
"1OV3","A","1.80","2.30.30.40 [159-213], 2.30.30.40 [229-283]","1","138","15396.10"
"1OV3","B","1.80","2.30.30.40 [159-213], 2.30.30.40 [229-283]","1","138","15396.10"
"1OW3","A","1.80","1.10.555.10 [39-234]","1","242","27444.50"
"1P3Q","R","1.70","","1","54","6034.56"
"1P3Q","Q","1.70","1.10.8.10 [398-444]","1","54","6034.56"
"1P57","B","1.75","2.40.10.10 [16-27], 2.40.10.10 [121-230], 2.40.10.10 [28-120], 2.40.10.10 [231-254]","2","255","27573.10"
"1P57","A","1.75","3.10.250.10 [5-114]","1","114","12522.30"
"1P5V","A","1.70","2.60.40.1070 [149-230], 2.60.40.360 [14-145]","1","235","26329.00"
"1P5V","B","1.70","2.60.40.1310 [14-149]","2","147","15673.20"
"1PBY","C","1.70","4.10.940.10 [1-79]","3","79","8843.79"
"1PK1","A","1.80","1.10.150.50 [12-79]","1","89","10319.50"
"1PK1","D","1.80","1.10.150.50 [14-80]","2","89","10410.00"
"1PK1","C","1.80","1.10.150.50 [13-78]","1","89","10319.50"
"1PK1","B","1.80","1.10.150.50 [11-80]","2","89","10410.00"
"1PK6","B","1.85","2.60.120.40 [92-223]","2","132","14996.10"
"1PK6","A","1.85","2.60.120.40 [90-222]","1","133","14914.80"
"1PXV","A","1.80","3.90.70.10 [211-393]","1","183","21062.10"
"1PXV","D","1.80","2.40.310.10 [-1-109]","2","111","13074.60"
"1PXV","C","1.80","2.40.310.10 [-1-109]","2","111","13074.60"
"1PXV","B","1.80","3.90.70.10 [211-393]","1","183","21062.10"
"1PYO","A","1.65","3.40.50.1460 [9-167]","1","167","18790.30"
"1PYO","D","1.65","3.30.70.1470 [207-305]","2","105","11921.00"
"1PYO","C","1.65","3.40.50.1460 [8-168]","1","167","18790.30"
"1PYO","B","1.65","3.30.70.1470 [207-304]","2","105","11921.00"
"1Q1A","A","1.50","3.40.50.1220 [5-37], 3.40.50.1220 [94-134], 3.40.50.1220 [190-293], 3.30.1600.10 [38-93], 3.30.1600.10 [135-189]","1","289","32654.40"
"1Q40","B","1.95","3.10.450.50 [305-509]","2","219","25045.00"
"1Q40","A","1.95","3.10.450.50 [3-176]","1","201","22870.90"
"1Q40","D","1.95","3.10.450.50 [304-508]","2","219","25045.00"
"1Q40","C","1.95","3.10.450.50 [3-176]","1","201","22870.90"
"1QAV","B","1.90","2.30.42.10 [1012-1126]","2","115","12371.30"
"1QGE","E","1.70","","2","97","10179.40"
"1QGE","D","1.70","3.40.50.1820 [1-219]","1","222","22954.40"
"1QGW","A","1.63","3.90.510.10 [1-76]","1","76","8135.16"
"1QGW","B","1.63","3.90.510.10 [1-67]","2","67","7042.14"
"1QJJ","A","1.86","3.40.390.10 [1-200]","1","200","22618.00"
"1QQP","2","1.90","2.60.120.20 [1-218]","2","218","24373.50"
"1QQP","1","1.90","2.60.120.20 [1-210]","1","213","23828.20"
"1QQP","4","1.90","4.10.90.10 [15-85]","4","85","8778.13"
"1QQP","3","1.90","2.60.120.20 [1-220]","3","220","23860.80"
"1R8O","A","1.83","","1","96","10129.70"
"1R8O","B","1.83","","2","71","7902.11"
"1REW","B","1.86","2.10.90.10 [12-114]","1","114","12923.90"
"1REW","A","1.86","2.10.90.10 [12-114]","1","114","12923.90"
"1REW","D","1.86","2.10.60.10 [32-120]","2","135","14674.50"
"1REW","C","1.86","2.10.60.10 [32-117]","2","135","14674.50"
"1RK8","A","1.90","3.30.70.330 [66-153]","1","165","19042.10"
"1RK8","C","1.90","","3","58","6609.50"
"1RM6","F","1.60","3.10.20.30 [1-78], 1.10.150.120 [79-157]","3","161","17205.00"
"1RM6","C","1.60","3.10.20.30 [1-78], 1.10.150.120 [79-157]","3","161","17205.00"
"1RXZ","A","2.00","3.70.10.10 [1-245]","1","245","27301.50"
"1S5D","E","1.75","2.40.50.110 [1-103]","2","103","11623.30"
"1S5D","H","1.75","2.40.50.110 [1-103]","2","103","11623.30"
"1S5D","D","1.75","2.40.50.110 [1-103]","2","103","11623.30"
"1S5D","G","1.75","2.40.50.110 [1-103]","2","103","11623.30"
"1S5D","A","1.75","3.90.210.10 [1-235]","1","240","27152.90"
"1S5D","F","1.75","2.40.50.110 [1-103]","2","103","11623.30"
"1S5P","A","1.96","","1","235","26088.60"
"1S6B","A","1.60","1.20.90.10 [1-120]","1","119","13220.70"
"1S6C","A","2.00","1.10.238.10 [39-216]","1","183","21760.30"
"1S9D","E","1.80","1.10.220.20 [57-133], 1.10.1000.11 [134-246]","2","203","23514.80"
"1SB2","A","1.90","3.10.100.10 [1-132]","1","133","15983.00"
"1SCJ","B","2.00","3.30.70.80 [307-377]","2","71","7980.17"
"1SE0","A","1.75","1.10.1170.10 [39-135]","1","116","13552.20"
"1SHA","A","1.50","3.30.505.10 [2-104]","1","104","11970.50"
"1SLU","A","1.80","2.60.40.550 [10-142]","1","142","16187.60"
"1SR4","C","2.00","2.80.10.50 [25-178]","3","166","18379.80"
"1SR4","B","2.00","3.60.10.10 [23-283]","2","261","28989.50"
